Year,State,Period,inventory_colonies,loss_pct,stressor_disease_pct,stressor_other_pct,stressor_pesticides_pct,stressor_pests_pct,stressor_unknown_pct,stressor_varroa_mites_pct
1987,ALABAMA,MARKETING YEAR,46000.0,,,,,,,
1987,ARIZONA,MARKETING YEAR,80000.0,,,,,,,
1987,ARKANSAS,MARKETING YEAR,29000.0,,,,,,,
1987,CALIFORNIA,MARKETING YEAR,540000.0,,,,,,,
1987,COLORADO,MARKETING YEAR,44000.0,,,,,,,
1987,CONNECTICUT,MARKETING YEAR,2000.0,,,,,,,
1987,DELAWARE,MARKETING YEAR,1000.0,,,,,,,
1987,FLORIDA,MARKETING YEAR,240000.0,,,,,,,
1987,GEORGIA,MARKETING YEAR,120000.0,,,,,,,
1987,HAWAII,MARKETING YEAR,9000.0,,,,,,,
1987,IDAHO,MARKETING YEAR,120000.0,,,,,,,
1987,ILLINOIS,MARKETING YEAR,28000.0,,,,,,,
1987,INDIANA,MARKETING YEAR,25000.0,,,,,,,
1987,IOWA,MARKETING YEAR,44000.0,,,,,,,
1987,KANSAS,MARKETING YEAR,46000.0,,,,,,,
1987,KENTUCKY,MARKETING YEAR,14000.0,,,,,,,
1987,LOUISIANA,MARKETING YEAR,35000.0,,,,,,,
1987,MAINE,MARKETING YEAR,9000.0,,,,,,,
1987,MARYLAND,MARKETING YEAR,7000.0,,,,,,,
1987,MASSACHUSETTS,MARKETING YEAR,11000.0,,,,,,,
1987,MICHIGAN,MARKETING YEAR,93000.0,,,,,,,
1987,MINNESOTA,MARKETING YEAR,160000.0,,,,,,,
1987,MISSISSIPPI,MARKETING YEAR,19000.0,,,,,,,
1987,MISSOURI,MARKETING YEAR,30000.0,,,,,,,
1987,MONTANA,MARKETING YEAR,95000.0,,,,,,,
1987,NEBRASKA,MARKETING YEAR,110000.0,,,,,,,
1987,NEVADA,MARKETING YEAR,11000.0,,,,,,,
1987,NEW HAMPSHIRE,MARKETING YEAR,1000.0,,,,,,,
1987,NEW JERSEY,MARKETING YEAR,25000.0,,,,,,,
1987,NEW MEXICO,MARKETING YEAR,19000.0,,,,,,,
1987,NEW YORK,MARKETING YEAR,90000.0,,,,,,,
1987,NORTH CAROLINA,MARKETING YEAR,20000.0,,,,,,,
1987,NORTH DAKOTA,MARKETING YEAR,300000.0,,,,,,,
1987,OHIO,MARKETING YEAR,55000.0,,,,,,,
1987,OKLAHOMA,MARKETING YEAR,10000.0,,,,,,,
1987,OREGON,MARKETING YEAR,55000.0,,,,,,,
1987,PENNSYLVANIA,MARKETING YEAR,48000.0,,,,,,,
1987,RHODE ISLAND,MARKETING YEAR,1000.0,,,,,,,
1987,SOUTH CAROLINA,MARKETING YEAR,15000.0,,,,,,,
1987,SOUTH DAKOTA,MARKETING YEAR,260000.0,,,,,,,
1987,TENNESSEE,MARKETING YEAR,35000.0,,,,,,,
1987,TEXAS,MARKETING YEAR,120000.0,,,,,,,
1987,UTAH,MARKETING YEAR,35000.0,,,,,,,
1987,VERMONT,MARKETING YEAR,7000.0,,,,,,,
1987,VIRGINIA,MARKETING YEAR,25000.0,,,,,,,
1987,WASHINGTON,MARKETING YEAR,75000.0,,,,,,,
1987,WEST VIRGINIA,MARKETING YEAR,21000.0,,,,,,,
1987,WISCONSIN,MARKETING YEAR,92000.0,,,,,,,
1987,WYOMING,MARKETING YEAR,39000.0,,,,,,,
1988,ALABAMA,MARKETING YEAR,42000.0,,,,,,,
1988,ARIZONA,MARKETING YEAR,80000.0,,,,,,,
1988,ARKANSAS,MARKETING YEAR,34000.0,,,,,,,
1988,CALIFORNIA,MARKETING YEAR,600000.0,,,,,,,
1988,COLORADO,MARKETING YEAR,48000.0,,,,,,,
1988,CONNECTICUT,MARKETING YEAR,2000.0,,,,,,,
1988,DELAWARE,MARKETING YEAR,1000.0,,,,,,,
1988,FLORIDA,MARKETING YEAR,240000.0,,,,,,,
1988,GEORGIA,MARKETING YEAR,115000.0,,,,,,,
1988,HAWAII,MARKETING YEAR,9000.0,,,,,,,
1988,IDAHO,MARKETING YEAR,127000.0,,,,,,,
