State,year,month,tavg,pcp
Alabama,1985,1,37.2,3.9
Alabama,1985,2,45.5,6.43
Alabama,1985,3,58.7,2.49
Alabama,1985,4,64.0,2.93
Alabama,1985,5,70.6,4.11
Alabama,1985,6,77.5,3.87
Alabama,1985,7,78.5,7.17
Alabama,1985,8,78.4,4.79
Alabama,1985,9,72.7,3.15
Alabama,1985,10,67.6,6.0
Alabama,1985,11,61.2,2.91
Alabama,1985,12,41.6,3.56
Alabama,1986,1,43.1,2.13
Alabama,1986,2,51.5,3.76
Alabama,1986,3,55.4,4.48
Alabama,1986,4,62.5,0.72
Alabama,1986,5,71.4,4.97
Alabama,1986,6,79.0,2.68
Alabama,1986,7,82.3,3.89
Alabama,1986,8,78.4,4.42
Alabama,1986,9,76.4,3.83
Alabama,1986,10,64.4,4.3
Alabama,1986,11,58.8,8.86
Alabama,1986,12,45.9,3.73
Alabama,1987,1,43.0,6.09
Alabama,1987,2,48.2,7.27
Alabama,1987,3,55.7,4.97
Alabama,1987,4,60.2,0.92
Alabama,1987,5,73.4,4.44
Alabama,1987,6,77.0,5.89
Alabama,1987,7,80.2,3.29
Alabama,1987,8,81.3,3.71
Alabama,1987,9,73.6,2.94
Alabama,1987,10,57.8,0.59
Alabama,1987,11,55.7,4.04
Alabama,1987,12,50.4,3.98
Alabama,1988,1,40.7,5.38
Alabama,1988,2,45.4,3.91
Alabama,1988,3,54.3,4.06
Alabama,1988,4,62.8,3.99
Alabama,1988,5,68.3,1.73
Alabama,1988,6,77.1,1.23
Alabama,1988,7,78.9,6.66
Alabama,1988,8,80.4,3.42
Alabama,1988,9,74.5,9.15
Alabama,1988,10,59.2,3.19
Alabama,1988,11,56.5,5.41
Alabama,1988,12,46.8,2.97
Alabama,1989,1,50.6,4.49
Alabama,1989,2,48.1,4.31
Alabama,1989,3,57.3,6.51
Alabama,1989,4,61.1,4.43
Alabama,1989,5,68.6,4.54
Alabama,1989,6,76.0,10.94
Alabama,1989,7,78.6,7.76
Alabama,1989,8,78.6,2.44
Alabama,1989,9,72.9,4.8
Alabama,1989,10,62.3,3.03
Alabama,1989,11,54.0,6.06
Alabama,1989,12,38.3,5.89
Alabama,1990,1,49.8,8.44
Alabama,1990,2,54.7,8.57
Alabama,1990,3,58.1,8.96
Alabama,1990,4,61.4,3.39
Alabama,1990,5,69.4,4.95
Alabama,1990,6,77.6,2.93
Alabama,1990,7,79.5,3.75
Alabama,1990,8,80.9,1.92
Alabama,1990,9,76.3,1.9
Alabama,1990,10,64.0,2.66
Alabama,1990,11,56.4,2.94
Alabama,1990,12,50.9,6.46
Alabama,1991,1,45.8,7.33
Alabama,1991,2,50.4,5.22
Alabama,1991,3,56.9,7.05
Alabama,1991,4,65.9,6.85
Alabama,1991,5,73.2,9.57
Alabama,1991,6,76.8,4.95
Alabama,1991,7,80.5,4.46
Alabama,1991,8,78.8,3.93
Alabama,1991,9,74.4,3.27
Alabama,1991,10,64.6,0.91
Alabama,1991,11,50.4,4.37
Alabama,1991,12,49.8,5.34
Alabama,1992,1,44.1,6.12
Alabama,1992,2,51.4,5.99
Alabama,1992,3,54.9,4.03
Alabama,1992,4,61.5,2.91
Alabama,1992,5,68.0,1.95
Alabama,1992,6,74.9,5.44
Alabama,1992,7,79.9,6.07
Alabama,1992,8,75.8,5.87
Alabama,1992,9,73.4,3.61
Alabama,1992,10,61.9,2.59
Alabama,1992,11,52.4,9.48
Alabama,1992,12,47.1,5.73
Alabama,1993,1,48.8,6.21
Alabama,1993,2,46.2,3.72
Alabama,1993,3,51.7,6.59
Alabama,1993,4,58.7,3.26
Alabama,1993,5,68.8,3.8
Alabama,1993,6,77.6,3.39
Alabama,1993,7,82.2,2.88
Alabama,1993,8,80.1,4.72
Alabama,1993,9,74.0,3.83
Alabama,1993,10,62.8,3.71
Alabama,1993,11,51.7,3.88
Alabama,1993,12,45.3,4.29
Alabama,1994,1,40.8,5.31
Alabama,1994,2,50.3,5.08
Alabama,1994,3,55.7,7.25
Alabama,1994,4,64.7,4.4
Alabama,1994,5,68.4,3.2
