State,Date,Mean_NDVI
Alabama,1985-03-01,-0.03886713011141038
Alabama,1985-04-01,-0.03877362818315377
Alabama,1985-05-01,-0.03869322508570029
Alabama,1985-06-01,-0.038695075293829574
Alabama,1985-07-01,-0.038741053501469155
Alabama,1985-08-01,-0.03875016987022527
Alabama,1985-09-01,-0.03871733104799216
Alabama,1985-10-01,-0.03875219836557296
Alabama,1985-11-01,-0.0388352916870715
Alabama,1985-12-01,-0.03887263467189031
Alabama,1986-01-01,-0.038890536238981394
Alabama,1986-02-01,-0.03889159984084231
Alabama,1986-03-01,-0.038859574559255636
Alabama,1986-04-01,-0.03877656785626837
Alabama,1986-05-01,-0.03874760804358472
Alabama,1986-06-01,-0.03874532260039178
Alabama,1986-07-01,-0.03874290370959844
Alabama,1986-08-01,-0.03876157489593536
Alabama,1986-09-01,-0.038767180460333006
Alabama,1986-10-01,-0.03878423344147895
Alabama,1986-11-01,-0.038841860002448575
Alabama,1986-12-01,-0.03889949742899118
Alabama,1987-01-01,-0.038903576456904995
Alabama,1987-02-01,-0.03889022251469148
Alabama,1987-03-01,-0.03885431133692458
Alabama,1987-04-01,-0.03878685801297748
Alabama,1987-05-01,-0.038741729156464254
Alabama,1987-06-01,-0.038725249755142015
Alabama,1987-07-01,-0.03871647970739471
Alabama,1987-08-01,-0.03873343168462291
Alabama,1987-09-01,-0.03871962766283056
Alabama,1987-10-01,-0.03874539207884427
Alabama,1987-11-01,-0.03884980533790402
Alabama,1987-12-01,-0.03891663809990206
Alabama,1988-01-01,-0.0389377869429481
Alabama,1988-02-01,-0.03890680705190989
Alabama,1988-03-01,-0.03885473800195886
Alabama,1988-04-01,-0.03874575171400588
Alabama,1988-05-01,-0.038675913320274244
Alabama,1988-06-01,-0.038724846963761016
Alabama,1988-07-01,-0.03875785611532811
Alabama,1988-08-01,-0.03873632835455436
Alabama,1988-09-01,-0.03873566126958864
Alabama,1988-10-01,-0.038761483227228215
Alabama,1988-11-01,-0.03879693009304604
Alabama,1989-01-01,-0.03886719882468169
Alabama,1989-02-01,-0.038869755448090106
Alabama,1989-03-01,-0.03883221642384917
Alabama,1989-04-01,-0.03874825921278159
Alabama,1989-05-01,-0.03870991185112634
Alabama,1989-06-01,-0.0387489333374143
Alabama,1989-07-01,-0.03876880631733594
Alabama,1989-08-01,-0.03877115649485798
Alabama,1989-09-01,-0.03876715536238982
Alabama,1989-10-01,-0.03877437316356513
