year,state,inventory_colonies,loss_pct,stressor_disease_pct,stressor_other_pct,stressor_pesticides_pct,stressor_pests_pct,stressor_unknown_pct,stressor_varroa_mites_pct,annual_avg_temp,annual_total_precip,annual_avg_ndvi,annual_total_sightings
2015,ALABAMA,7000.0,15.5,0.05,4.324999999999999,1.825,31.225,8.275,23.225,64.61666666666666,61.36,-0.03876954666840104,243.0
2015,ARIZONA,26000.0,19.0,1.775,9.525,10.225000000000001,19.775000000000002,6.0,34.725,61.75,14.39,-0.0033831903049486834,89.0
2015,ARKANSAS,24000.0,16.0,2.375,9.675,9.8,29.224999999999998,3.075,47.7,61.4,67.31,-0.024834337439903802,169.0
2015,CALIFORNIA,275000.0,11.75,7.375,11.55,15.45,15.45,4.475,38.2,60.75833333333333,15.040000000000001,-0.08798117802212006,362.0
2015,COLORADO,29000.0,11.25,7.574999999999999,4.525,9.899999999999999,7.1499999999999995,4.25,37.825,47.44166666666666,21.73,-0.00024733144692989164,513.0
2015,FLORIDA,220000.0,14.75,3.175,10.899999999999999,14.075,20.0,4.35,33.325,73.35833333333333,52.86,-0.6254817246537436,107.0
2015,GEORGIA,69000.0,15.0,3.775,7.225,14.25,13.125,4.875,37.525,65.30833333333332,55.74,-0.05479641111877654,11.0
2015,HAWAII,16000.0,7.25,0.55,1.925,0.05,53.275,0.025,52.0,30.03333333333333,40.1,,
2015,IDAHO,89000.0,9.75,6.25,6.9,6.2,4.8,4.025,37.75,46.375,22.52,-0.01423729714274946,1.0
2015,ILLINOIS,8000.0,17.25,0.44999999999999996,4.825,1.05,4.025,4.525,9.925,52.86666666666667,48.8,-0.01120184201061395,9.0
2015,INDIANA,6000.0,13.25,4.575,7.075,2.275,3.225,5.9,16.224999999999998,52.30833333333334,47.510000000000005,-0.006073459313956509,
2015,IOWA,36000.0,11.0,2.05,12.775,5.575,3.125,2.525,29.575,49.26666666666667,42.51,-0.002115970420406433,206.0
2015,KANSAS,8000.0,21.0,0.6,15.425,13.375,11.175,7.25,28.525,56.300000000000004,32.769999999999996,-0.004328821238319275,
2015,KENTUCKY,5000.0,19.25,2.35,12.1,5.15,13.75,4.875,23.775,56.56666666666666,58.3,-0.012430584748548948,1130.0
2015,LOUISIANA,44000.0,7.75,1.125,3.375,1.25,2.925,0.75,22.599999999999998,68.09166666666667,67.31,-0.513704722236764,
2015,MAINE,10000.0,6.5,3.3249999999999997,2.675,8.625,9.55,2.55,26.099999999999998,41.225,43.16,-0.37253484750457305,211.0
2015,MICHIGAN,90000.0,12.5,2.25,7.425,7.125,9.125,5.05,29.0,45.10833333333333,31.74,-0.3067756827991226,506.0
2015,MINNESOTA,122000.0,12.25,4.300000000000001,5.625,17.25,7.4,6.875,25.924999999999997,43.49166666666667,29.46,-0.15071378996493398,1238.0
2015,MISSISSIPPI,15000.0,9.25,0.175,2.0,0.8250000000000001,4.725,1.375,18.9,65.29166666666667,60.57,-0.012323735828565335,27.0
2015,MISSOURI,10000.0,8.25,2.9,3.9250000000000003,1.9749999999999999,7.475,4.15,8.025,55.84166666666667,55.519999999999996,-0.0219332404040169,
2015,MONTANA,146000.0,5.75,6.625,3.375,4.95,9.399999999999999,6.775,26.425,44.85833333333333,16.88,-0.015635611594479418,291.0
2015,NEBRASKA,57000.0,8.0,2.8,1.85,3.85,4.325,2.625,15.275,50.800000000000004,28.06,0.000254226688159925,
2015,NEW JERSEY,12000.0,6.5,7.7,5.5,9.4,5.0,5.249999999999999,26.875,53.86666666666667,43.86,-0.29625952524598953,184.0
2015,NEW YORK,58000.0,12.0,2.875,6.2250000000000005,6.7,7.9,4.275,22.8,45.69166666666666,40.64,-0.17231753152485094,2.0
2015,NORTH CAROLINA,12000.0,14.25,0.4,5.775,8.575,11.975,6.7749999999999995,32.5,60.51666666666666,58.32,-0.5561045486079171,221.0
2015,NORTH DAKOTA,490000.0,9.75,2.5,3.7249999999999996,4.525,5.625,1.55,15.45,43.375,17.72,-0.031137479799299348,
2015,OHIO,17000.0,20.0,1.65,11.275,11.399999999999999,5.625,8.975,23.375,51.61666666666667,43.01,-0.03306376792391845,152.0
2015,OREGON,71000.0,7.75,5.075,3.4749999999999996,5.3,11.25,1.7,32.975,50.35833333333333,30.17,-0.044855602626504835,224.0
2015,PENNSYLVANIA,17000.0,14.25,2.3,8.125,2.225,6.925,2.55,29.200000000000003,49.458333333333336,43.09,-0.005733545127754858,12291.0
2015,SOUTH CAROLINA,14000.0,12.5,4.85,4.25,4.5249999999999995,10.4,1.65,28.25,64.49166666666666,60.66,-0.14246457895171954,11.0
2015,SOUTH DAKOTA,290000.0,8.5,1.5,1.7249999999999999,4.175,5.575,3.275,12.45,47.53333333333333,22.78,-0.011579462857832875,1.0
2015,TENNESSEE,7000.0,13.5,0.575,6.225,4.8,27.525,3.0,41.1,59.03333333333333,59.16,-0.029497968380242993,5.0
2015,TEXAS,126000.0,10.75,2.875,4.15,10.625,17.45,5.6,23.1,65.8,41.230000000000004,-0.108194587966653,155.0
2015,UTAH,27000.0,14.0,12.4,4.15,12.625000000000002,11.450000000000001,0.55,39.175,50.73333333333333,15.41,-0.2564024151671665,654.0
